category,year,season,month,clicks,ttl_cat_clicks,month_min_clicks,min_cat_clicks,max_cat_clicks,month_max_clicks,avg_cat_clicks,std_cat_clicks,co_var_cat,mnth_ranking
sanitary installation,2021,Autumn,9,57662,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,4.0
sanitary installation,2021,Autumn,10,53690,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,9.0
sanitary installation,2021,Autumn,11,45354,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,11.0
sanitary installation,2021,Winter,12,54448,657065,6,42632,67163,1,54755.416666666664,6689.0937347614035,12.216314187658275,5.0
sewing machines,2021,Winter,1,63492,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,4.0
sewing machines,2021,Winter,2,50174,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,7.0
sewing machines,2021,Spring,3,71605,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,3.0
sewing machines,2021,Spring,4,48124,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,8.0
sewing machines,2021,Spring,5,46620,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,11.0
sewing machines,2021,Summer,6,36073,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,12.0
sewing machines,2021,Summer,7,47560,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,9.0
sewing machines,2021,Summer,8,46777,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,10.0
sewing machines,2021,Autumn,9,55930,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,6.0
sewing machines,2021,Autumn,10,59572,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,5.0
sewing machines,2021,Autumn,11,111334,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,1.0
sewing machines,2021,Winter,12,89767,727028,6,36073,111334,11,60585.666666666664,21318.94731894328,35.18810387320975,2.0
shopping bags,2021,Winter,1,60902,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,5.0
shopping bags,2021,Winter,2,50241,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,12.0
shopping bags,2021,Spring,3,60420,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,6.0
shopping bags,2021,Spring,4,55236,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,11.0
shopping bags,2021,Spring,5,58713,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,7.0
shopping bags,2021,Summer,6,57379,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,10.0
shopping bags,2021,Summer,7,65559,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,3.0
shopping bags,2021,Summer,8,64220,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,4.0
shopping bags,2021,Autumn,9,57661,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,9.0
shopping bags,2021,Autumn,10,57971,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,8.0
shopping bags,2021,Autumn,11,88343,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,2.0
shopping bags,2021,Winter,12,165242,841887,2,50241,165242,12,70157.25,31372.999271594268,44.718114338281886,1.0
shoulder bags,2021,Winter,1,48276,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,7.0
shoulder bags,2021,Winter,2,36732,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,12.0
shoulder bags,2021,Spring,3,43497,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,10.0
shoulder bags,2021,Spring,4,44083,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,9.0
shoulder bags,2021,Spring,5,44669,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,8.0
shoulder bags,2021,Summer,6,39812,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,11.0
shoulder bags,2021,Summer,7,55502,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,4.0
shoulder bags,2021,Summer,8,57579,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,3.0
shoulder bags,2021,Autumn,9,49605,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,6.0
shoulder bags,2021,Autumn,10,52967,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,5.0
shoulder bags,2021,Autumn,11,74994,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,2.0
