Standard,,,,,,,,,,,,Expected,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,"xG
▼",npxG,npxG/Sh,G-xG,np:G-xG
304,Bamo Meïté,ci CIV,DF,Lorient,21,2001,16.7,1,3,1,33.3,0.18,0.06,0.33,1,8.5,0,0,0,0.7,0.7,0.25,0.3,0.3
305,Thiago Mendes,br BRA,"MF,DF",Lyon,30,1992,22.9,1,14,4,28.6,0.61,0.17,0.07,0.25,25.1,2,0,0,0.7,0.7,0.05,0.3,0.3
306,Papa Ndiaga Yade,sn SEN,"DF,MF",Troyes,22,2000,6.3,0,10,3,30,1.58,0.48,0,0,20.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
307,Azzedine Ounahi,ma MAR,"MF,FW",Marseille,22,2000,1.3,1,3,2,66.7,2.23,1.49,0.33,0.5,21,1,0,0,0.7,0.7,0.22,0.3,0.3
308,Adil Rami,fr FRA,DF,Troyes,36,1985,17.7,0,9,3,33.3,0.51,0.17,0,0,26,0,0,0,0.7,0.7,0.07,-0.7,-0.7
309,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,25,1997,32.2,1,10,6,60,0.31,0.19,0.1,0.17,21.1,2,0,0,0.7,0.7,0.07,0.3,0.3
310,Ibrahima Sissoko,fr FRA,MF,Strasbourg,24,1997,14.6,0,13,3,23.1,0.89,0.21,0,0,18,0,0,0,0.7,0.7,0.05,-0.7,-0.7
311,Kevin Spadanuda,ch SUI,"MF,FW",Ajaccio,25,1997,11.8,0,7,1,14.3,0.59,0.08,0,0,14.2,0,0,0,0.7,0.7,0.1,-0.7,-0.7
312,Montassar Talbi,tn TUN,DF,Lorient,24,1998,38,1,9,6,66.7,0.24,0.16,0.11,0.17,11.8,0,0,0,0.7,0.7,0.08,0.3,0.3
313,Christopher Wooh,cm CMR,DF,Rennes,20,2001,11.2,0,5,0,0,0.45,0,0,,8.9,0,0,0,0.7,0.7,0.13,-0.7,-0.7
314,Darlin Yongwa,cm CMR,DF,Lorient,21,2000,8.7,1,9,3,33.3,1.04,0.35,0.11,0.33,16.9,0,0,0,0.7,0.7,0.08,0.3,0.3
315,Benoît Badiashile,fr FRA,DF,Monaco,21,2001,9.3,2,5,3,60,0.54,0.32,0.4,0.67,16,0,0,0,0.6,0.6,0.13,1.4,1.4
316,Jérémie Bela,ao ANG,"DF,MF",Clermont Foot,29,1993,8.3,1,12,5,41.7,1.45,0.61,0.08,0.2,21.7,1,0,0,0.6,0.6,0.05,0.4,0.4
317,Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,33,1988,2.8,1,7,1,14.3,2.48,0.35,0.14,1,23.2,0,0,0,0.6,0.6,0.09,0.4,0.4
318,Joris Chotard,fr FRA,MF,Montpellier,20,2001,27.3,0,12,1,8.3,0.44,0.04,0,0,27.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6
319,Abdu Conté,pt POR,DF,Troyes,24,1998,14.6,1,4,2,50,0.27,0.14,0.25,0.5,15.3,0,0,0,0.6,0.6,0.14,0.4,0.4
320,Logan Costa,cv CPV,DF,Toulouse,21,2001,4.6,0,5,2,40,1.08,0.43,0,0,8.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6
321,Maxime Estève,fr FRA,DF,Montpellier,20,2002,18.3,0,6,0,0,0.33,0,0,,9.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6
322,Denis Genreau,au AUS,MF,Toulouse,23,1999,7.3,0,7,2,28.6,0.96,0.27,0,0,16.5,0,0,0,0.6,0.6,0.08,-0.6,-0.6
323,Amine Gouiri,fr FRA,"FW,MF",Nice,22,2000,2.5,0,5,2,40,1.99,0.8,0,0,12.5,0,0,0,0.6,0.6,0.12,-0.6,-0.6
324,Frederic Guilbert,fr FRA,DF,Strasbourg,27,1994,16.2,0,12,1,8.3,0.74,0.06,0,0,26.3,3,0,0,0.6,0.6,0.05,-0.6,-0.6
325,Gedeon Kalulu,cd COD,DF,Lorient,24,1997,27.1,0,10,2,20,0.37,0.07,0,0,20.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6
326,Julien Le Cardinal,fr FRA,DF,Lens,24,1997,1.8,0,5,2,40,2.73,1.09,0,0,9.6,0,0,0,0.6,0.6,0.11,-0.6,-0.6
327,Maxime Le Marchand,fr FRA,DF,Strasbourg,32,1989,22.4,0,8,0,0,0.36,0,0,,19.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
328,Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,34,1988,17.1,0,13,2,15.4,0.76,0.12,0,0,21.8,2,0,0,0.6,0.6,0.05,-0.6,-0.6
329,Jean Lucas,br BRA,MF,Monaco,24,1998,3.2,0,5,3,60,1.55,0.93,0,0,18.3,0,0,0,0.6,0.6,0.12,-0.6,-0.6
330,Youssouf M'Changama,km COM,MF,Auxerre,31,1990,12,0,18,2,11.1,1.5,0.17,0,0,30.3,7,0,0,0.6,0.6,0.03,-0.6,-0.6
331,Warmed Omari,fr FRA,DF,Rennes,22,2000,15.1,0,3,1,33.3,0.2,0.07,0,0,7.1,0,0,0,0.6,0.6,0.19,-0.6,-0.6
332,Łukasz Poręba,pl POL,MF,Lens,22,2000,2.9,0,3,0,0,1.04,0,0,,17.1,0,0,0,0.6,0.6,0.19,-0.6,-0.6
333,Adrien Truffert,fr FRA,DF,Rennes,20,2001,21.7,0,10,3,30,0.46,0.14,0,0,21.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6
334,Laurent Abergel,fr FRA,MF,Lorient,29,1993,26,0,13,2,15.4,0.5,0.08,0,0,24,0,0,0,0.5,0.5,0.04,-0.5,-0.5
335,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,20,2002,4.5,0,5,2,40,1.12,0.45,0,0,14.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
336,Mickaël Alphonse,gp GLP,DF,Ajaccio,33,1989,15.1,0,10,2,20,0.66,0.13,0,0,16.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5
